City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Opuwo,NA,2022-08-11 18:32:31,-18.0607,13.84,71.37,12,0,7.52
68,Mahebourg,MU,2022-08-11 18:32:32,-20.4081,57.7,70.25,64,40,18.41
69,Port-Gentil,GA,2022-08-11 18:32:32,-0.7193,8.7815,75.16,83,20,8.05
70,Beya,RU,2022-08-11 18:32:32,53.0533,90.9139,60.01,89,100,5.06
71,Genhe,CN,2022-08-11 18:27:49,50.7833,121.5167,54.46,84,88,2.21
72,Jutai,BR,2022-08-11 18:32:33,-5.1833,-68.9,89.73,44,73,3.27
73,Lamu,KE,2022-08-11 18:32:33,-2.2717,40.902,75.42,83,57,15.88
74,Kattivakkam,IN,2022-08-11 18:32:34,13.2167,80.3167,87.89,80,98,10.96
75,Eureka,US,2022-08-11 18:31:17,40.8021,-124.1637,66.2,81,29,3.0
76,Sironj,IN,2022-08-11 18:32:34,24.1,77.7,75.51,94,89,11.86
77,Lakatoro,VU,2022-08-11 18:32:35,-16.0999,167.4164,71.74,69,49,13.67
78,Paramonga,PE,2022-08-11 18:32:35,-10.6667,-77.8333,67.42,69,48,10.56
79,Kodiak,US,2022-08-11 18:19:53,57.79,-152.4072,54.91,94,100,5.75
80,Constitucion,CL,2022-08-11 18:32:36,-35.3333,-72.4167,55.67,65,0,8.7
81,Airai,TL,2022-08-11 18:22:48,-8.9266,125.4092,57.9,94,81,3.09
82,Barrow,US,2022-08-11 18:31:58,71.2906,-156.7887,42.82,87,100,21.85
83,Cururupu,BR,2022-08-11 18:29:41,-1.8283,-44.8683,86.27,58,95,7.11
84,Tucuman,AR,2022-08-11 18:31:19,-26.8241,-65.2226,68.0,34,28,4.61
85,Agua Verde,MX,2022-08-11 18:32:37,22.9,-106.05,89.69,71,95,7.94
86,Xining,CN,2022-08-11 18:27:56,36.6167,101.7667,67.57,85,100,2.8
87,Hithadhoo,MV,2022-08-11 18:31:37,-0.6,73.0833,81.93,75,6,8.16
88,Cidreira,BR,2022-08-11 18:32:38,-30.1811,-50.2056,62.49,70,0,6.76
89,Pangnirtung,CA,2022-08-11 18:32:38,66.1451,-65.7125,50.0,71,20,9.22
90,Kokomo,US,2022-08-11 18:28:00,40.4864,-86.1336,80.02,80,100,10.36
91,Nanortalik,GL,2022-08-11 18:33:39,60.1432,-45.2371,46.18,89,61,8.72
92,Havre,FR,2022-08-11 18:33:39,49.5833,0.3333,84.6,30,0,16.11
93,Tasiilaq,GL,2022-08-11 18:33:40,65.6145,-37.6368,41.16,81,29,2.84
94,Batemans Bay,AU,2022-08-11 18:30:17,-35.7167,150.1833,53.1,74,100,4.38
95,El Tigre,VE,2022-08-11 18:33:40,8.8875,-64.2454,87.24,57,99,1.3
96,Vila Velha,BR,2022-08-11 18:33:24,-20.3297,-40.2925,76.95,60,0,17.27
97,Puerto Del Rosario,ES,2022-08-11 18:33:41,28.5004,-13.8627,76.75,73,20,17.27
98,Walvis Bay,NA,2022-08-11 18:33:41,-22.9575,14.5053,54.55,87,1,0.0
99,Kavieng,PG,2022-08-11 18:33:42,-2.5744,150.7967,81.32,78,94,10.94
100,Port-Cartier,CA,2022-08-11 18:33:42,50.0334,-66.8654,68.22,75,49,7.54
101,Ulaangom,MN,2022-08-11 18:33:42,49.9811,92.0667,61.25,76,77,4.07
102,Sola,VU,2022-08-11 18:33:43,-13.8833,167.55,76.98,74,100,27.56
103,Krasnovishersk,RU,2022-08-11 18:33:43,60.4078,57.082,51.75,96,91,2.95
104,Victoria,HK,2022-08-11 18:30:19,22.2855,114.1577,82.33,92,100,5.01
105,Touros,BR,2022-08-11 18:33:44,-5.1989,-35.4608,80.42,71,22,13.51
106,Rocha,UY,2022-08-11 18:33:44,-34.4833,-54.3333,60.85,62,0,9.42
107,Coutances,FR,2022-08-11 18:33:45,49.05,-1.4333,76.08,42,0,12.19
108,Cabo San Lucas,MX,2022-08-11 18:31:19,22.8909,-109.9124,95.61,51,0,11.5
109,Flinders,AU,2022-08-11 18:33:45,-34.5833,150.8552,57.18,78,100,1.99
110,Krasnoselkup,RU,2022-08-11 18:33:46,65.7,82.4667,49.68,68,100,7.02
111,Acapulco,MX,2022-08-11 18:29:03,16.8634,-99.8901,85.82,74,75,5.75
112,Nazret,ET,2022-08-11 18:33:47,8.55,39.2667,63.01,88,100,10.49
113,Dong Hoi,VN,2022-08-11 18:33:47,17.4833,106.6,79.03,81,100,4.25
114,Horsham,GB,2022-08-11 18:33:47,51.064,-0.3272,86.67,30,0,10.36
115,Pedernales,DO,2022-08-11 18:33:48,18.0384,-71.744,87.01,60,13,7.67
116,Poum,NC,2022-08-11 18:33:48,-20.2333,164.0167,68.05,62,0,7.34
117,Lorengau,PG,2022-08-11 18:33:49,-2.0226,147.2712,80.2,78,29,5.01
118,Greeneville,US,2022-08-11 18:33:49,36.1632,-82.831,81.91,80,75,3.44
